         817262139 function calls (802877440 primitive calls) in 295.902 seconds

   Ordered by: cumulative time
   List reduced from 4748 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    96000    0.368    0.000   33.565    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/generic.py:11770(_stat_function)
    96000    7.035    0.000   33.088    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/frame.py:13520(_reduce)
   720480    0.859    0.000   31.555    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/indexing.py:1192(__getitem__)
   720480    0.757    0.000   29.395    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/indexing.py:1740(_getitem_axis)
   480480    0.462    0.000   23.044    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/indexing.py:1777(_get_slice_axis)
   192000    0.764    0.000   22.325    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/indexes/base.py:3656(get_indexer)
   480480    1.497    0.000   21.782    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/generic.py:4308(_slice)
   192347    1.758    0.000   18.361    0.000 /opt/homebrew/Cellar/python@3.14/3.14.2_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/multiprocessing/connection.py:456(_poll)
    48000    0.084    0.000   17.417    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/frame.py:13978(min)
    48000    0.043    0.000   17.187    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/generic.py:11789(min)
    48000    0.085    0.000   16.697    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/frame.py:14085(max)
   480480    0.281    0.000   16.555    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/indexes/base.py:5434(_getitem_slice)
    48000    0.050    0.000   16.470    0.000 /Users/rostsh/Documents/DIS/REPO/Monte-Neo/.venv/lib/python3.14/site-packages/pandas/core/generic.py:11806(max)
99382682/98349374   10.747    0.000   15.701    0.000 {built-in method builtins.isinstance}


